TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-03-24,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-24,TAS RANSEL OTHELLO SERIES,1
2023-03-25,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-25,TAS RANSEL OTHELLO SERIES,1
2023-03-26,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-26,TAS RANSEL OTHELLO SERIES,0
2023-03-27,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-03-27,TAS RANSEL OTHELLO SERIES,0
2023-03-28,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-03-28,TAS RANSEL OTHELLO SERIES,0
2023-03-29,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-29,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-29,TAS RANSEL OTHELLO SERIES,0
2023-03-30,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-30,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-30,TAS RANSEL OTHELLO SERIES,0
2023-03-31,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-03-31,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-31,TAS RANSEL OTHELLO SERIES,0
2023-04-01,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-01,TAS RANSEL OTHELLO SERIES,0
2023-04-02,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-02,TAS RANSEL OTHELLO SERIES,0
2023-04-03,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-04-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-03,TAS RANSEL OTHELLO SERIES,0
2023-04-04,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-04-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-04,TAS RANSEL OTHELLO SERIES,0
2023-04-05,BANTAL IBU MENYUSUI SERI SQUIREL,2
2023-04-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-05,TAS RANSEL OTHELLO SERIES,1
2023-04-06,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-06,TAS RANSEL OTHELLO SERIES,0
2023-04-07,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-07,TAS RANSEL OTHELLO SERIES,0
2023-04-08,BANTAL IBU MENYUSUI SERI SQUIREL,3
2023-04-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,7
2023-04-08,TAS RANSEL OTHELLO SERIES,1
2023-04-09,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-09,TAS RANSEL OTHELLO SERIES,0
2023-04-10,BANTAL IBU MENYUSUI SERI SQUIREL,1
2023-04-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,3
2023-04-10,TAS RANSEL OTHELLO SERIES,2
2023-04-11,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-11,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-11,TAS RANSEL OTHELLO SERIES,0
2023-04-12,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-12,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-12,TAS RANSEL OTHELLO SERIES,0
2023-04-13,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-13,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-04-13,TAS RANSEL OTHELLO SERIES,0
2023-04-14,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-14,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-04-14,TAS RANSEL OTHELLO SERIES,0
2023-04-15,BANTAL IBU MENYUSUI SERI SQUIREL,0
2023-04-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
